a	m	c
0	115.5	120.0
10	117.5	118.2
20	110.3	112.8
30	102.1	103.9
40	87.9	91.9
50	74.5	77.1
60	54.7	60.0
70	35.4	41.0
80	13.8	20.8
90	-1.1	0.0
100	-16.0	-20.8
110	-31.1	-41.0
120	-42.6	-60.0
130	-61.6	-77.1
140	-78.6	-91.9
150	-97.8	-103.9
160	-113.2	-112.8
170	-118.4	-118.2
180	-121.2	-120.0
190	-119.7	-118.2
200	-114.3	-112.8
210	-102.8	-103.9
220	-88.7	-91.9
230	-71.7	-77.1
240	-56.5	-60.0
250	-28.9	-41.0
260	-16.2	-20.8
270	1.00	0.0
280	19.0	20.8
290	34.1	41.0
300	50.6	60.0
310	64.2	77.1
320	79.6	91.9
330	97.9	103.9
340	112.3	112.8
350	117.7	118.2
360	120.2	120.0
